file,raw_tag,catalog_key,status,canonical,jpm_prefix
wiki/exams/2012/q75-edg-fire-emergency-bypass-keylock-procedure.md,G2.4.27 (RO 3.4 / SRO 3.9),G2.4.27,DELETED_IN_REV3,G2.4.27 (RO 3.4 / SRO 3.9),
wiki/exams/2012/q76-continuous-rod-withdrawal-p2-block-crs-response.md,001 AA2.03 (RO 4.5 / SRO 4.8),001 AA2.03,DELETED_IN_REV3,001 AA2.03 (RO 4.5 / SRO 4.8),
wiki/exams/2012/q77-trip-1-porv-block-valve-fail-shut-transition.md,G2.1.20 (RO 4.6 / SRO 4.6),G2.1.20,RESOLVED,G2.1.20 (RO 4.6 / SRO 4.6),
wiki/exams/2012/q78-sbloca-faulted-sg-eval-procedure-transition.md,G2.2.44 (RO 4.2 / SRO 4.4),G2.2.44,RESOLVED,G2.2.44 (RO 4.2 / SRO 4.4),
wiki/exams/2012/q79-loss-of-rhr-mode-5-decay-heat-removal-method.md,025 AA2.05 (RO 3.4 / SRO 3.5),025 AA2.05,RESOLVED,025 AA2.05 (RO 3.4 / SRO 3.5),
wiki/exams/2012/q8-atwt-safeguards-reset-si-pushbutton-impact.md,029 K2.06 (RO 2.9 / SRO 3.1),029 K2.06,NUMBER_NOT_IN_CATALOG,,
wiki/exams/2012/q80-pzr-cold-cal-level-channel-failure-ts-applicability.md,G2.2.43 (RO 3 / SRO 3.3),G2.2.43,RESOLVED,G2.2.43 (RO 3 / SRO 3.3),
wiki/exams/2012/q81-12-sg-nr-channel-iv-fails-high-crs-response.md,054 AA2.05 (RO 3 / SRO 3.5),054 AA2.05,RESOLVED,054 AA2.05 (RO 3 / SRO 3.5),
wiki/exams/2012/q82-loss-of-2a-edg-and-23-sw-pump-crs-response.md,G2.4.6 (RO 3.7 / SRO 4.7),G2.4.6,RESOLVED,G2.4.6 (RO 3.7 / SRO 4.7),
wiki/exams/2012/q83-loca-highest-ecg-classification.md,069 AA2.01 (RO 4.3 / SRO 4.1),069 AA2.01,RESOLVED,069 AA2.01 (RO 4.3 / SRO 4.1),
wiki/exams/2012/q84-mslb-losc-2-sg-pressure-rise-transition.md,WE12 EA2.01 (RO 3.2 / SRO 4.0),WE12 EA2.01,DELETED_IN_REV3,WE12 EA2.01 (RO 3.2 / SRO 4.0),
wiki/exams/2012/q85-sae-subsequent-nrc-notification-condition-and-time.md,G2.4.30 (RO 2.7 / SRO 4.1),G2.4.30,RESOLVED,G2.4.30 (RO 2.7 / SRO 4.1),
wiki/exams/2012/q86-second-rcp-start-rhr-pressure-transient-response.md,005 A2.02 (RO 4 / SRO 3.9),005 A2.02,RESOLVED,005 A2.02 (RO 4 / SRO 3.9),
wiki/exams/2012/q87-ir-channel-i-bistable-illumination-power-ascension.md,012 A2.01 (RO 3.8 / SRO 3.6),012 A2.01,RESOLVED,012 A2.01 (RO 3.8 / SRO 3.6),
wiki/exams/2012/q88-rod-bottom-e-48-alarm-during-startup-crs-response.md,G2.2.37 (SRO 4.6),G2.2.37,RESOLVED,G2.2.37 (SRO 4.6),
wiki/exams/2012/q89-cntmt-press-channel-iv-calibration-phase-b-isolation.md,G2.4.50 (RO 4.2 / SRO 4),G2.4.50,RESOLVED,G2.4.50 (RO 4.2 / SRO 4),
wiki/exams/2012/q9-sg-tube-leak-shutdown-stuck-rod-action.md,G2.4.8 (RO 3.8 / SRO 4.5),G2.4.8,DELETED_IN_REV3,G2.4.8 (RO 3.8 / SRO 4.5),
wiki/exams/2012/q90-dropped-fuel-assembly-fhb-ventilation-response.md,034 A2.01 (RO 4 / SRO 3.6),034 A2.01,RESOLVED,034 A2.01 (RO 4 / SRO 3.6),
wiki/exams/2012/q91-23tb40-steam-dump-fails-open-mode-3.md,039 A2.04 (RO 4 / SRO 3.7),039 A2.04,RESOLVED,039 A2.04 (RO 4 / SRO 3.7),
wiki/exams/2012/q92-inadvertent-deluge-turbine-building-fire-protection-response.md,086 A2.03 (RO 3.1 / SRO 2.9),086 A2.03,RESOLVED,086 A2.03 (RO 3.1 / SRO 2.9),
